,Justice,Média,Police,AN,Science,Administration,Entreprises,Associations,Gouvernement,Agences,Médecins,Sénat
0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0
3,4.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0
4,5.0,5.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0
5,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0
6,5.0,5.0,1.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,2.0
7,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0
8,1.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
9,4.0,5.0,1.0,5.0,1.0,4.0,2.0,1.0,5.0,4.0,1.0,5.0
10,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0
11,4.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
12,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
14,2.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,4.0
15,1.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0
16,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,2.0,5.0
17,5.0,4.0,1.0,5.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,5.0
18,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
19,5.0,5.0,1.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0
20,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
21,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
22,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0
23,4.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0
24,5.0,4.0,2.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0
25,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
26,4.0,5.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0
27,4.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0
28,2.0,4.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0
29,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
30,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0
31,2.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0
32,5.0,4.0,2.0,5.0,2.0,5.0,4.0,2.0,5.0,4.0,2.0,5.0
33,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0
35,2.0,5.0,2.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0
36,2.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
37,5.0,5.0,2.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,1.0
38,2.0,5.0,4.0,5.0,2.0,4.0,5.0,2.0,5.0,3.0,4.0,3.0
