,SEXE,AGE,OA196_r1,OA196_r2,OA196_r3,OA196_r4,OA196_r5,OA196_r6,OA196_r7
0,Un homme,45.0,-1,-1,0,-1,2,-1,-1
1,Un homme,49.0,2,-1,1,-1,-1,1,2
2,Une femme,54.0,1,1,1,1,1,1,1
3,Un homme,57.0,-1,-1,2,1,-2,-1,1
4,Une femme,44.0,2,-2,1,-2,-2,2,-1
5,Un homme,70.0,1,-1,-1,-1,1,1,1
6,Une femme,84.0,-1,1,-1,2,1,0,1
7,Une femme,55.0,1,1,1,-1,1,1,1
8,Un homme,45.0,2,-1,2,-1,-1,1,2
9,Une femme,44.0,0,1,1,1,1,1,1
10,Une femme,24.0,1,2,1,-1,1,2,1
11,Un homme,67.0,2,0,0,-2,-2,-2,0
12,Un homme,88.0,1,2,1,1,2,1,1
13,Un homme,57.0,-1,-1,1,-1,-1,-1,-1
14,Une femme,77.0,1,2,2,2,2,1,2
15,Une femme,23.0,1,1,-1,1,1,-2,-1
16,Une femme,25.0,0,0,1,0,-1,0,2
17,Une femme,29.0,0,0,0,-1,0,0,1
18,Une femme,44.0,1,1,1,1,1,1,1
19,Une femme,77.0,2,1,0,1,1,1,1
20,Un homme,75.0,0,-1,-1,-2,1,1,1
21,Un homme,42.0,1,2,-1,-1,-2,2,2
22,Une femme,68.0,2,2,2,2,2,1,1
23,Un homme,46.0,-1,1,1,-1,-1,1,-1
24,Un homme,73.0,2,1,1,1,1,1,1
25,Une femme,45.0,2,2,2,2,2,2,2
26,Un homme,80.0,1,-2,1,1,-1,1,1
27,Un homme,63.0,-1,1,2,1,1,1,1
28,Une femme,48.0,1,1,2,-1,2,2,2
29,Une femme,38.0,1,1,2,2,-2,1,1
30,Une femme,34.0,1,-1,-1,-1,-1,-1,1
31,Une femme,43.0,1,1,-1,-1,-1,1,1
32,Une femme,51.0,-1,0,1,0,0,1,0
33,Un homme,52.0,1,1,1,-2,1,1,1
34,Un homme,78.0,2,1,0,1,1,1,1
35,Une femme,26.0,2,2,2,-1,1,-1,1
36,Une femme,53.0,-1,1,1,1,1,1,1
37,Une femme,18.0,-2,2,1,2,-1,2,-1
38,Un homme,50.0,-1,1,2,1,1,2,1
39,Une femme,35.0,-1,1,2,-1,-2,1,1
40,Une femme,28.0,1,1,1,1,-1,1,-1
41,Une femme,23.0,-1,1,2,1,1,2,2
42,Une femme,18.0,1,2,1,1,-1,2,2
43,Une femme,53.0,0,0,2,2,2,0,0
44,Un homme,62.0,1,1,2,1,2,1,1
45,Un homme,40.0,1,1,1,0,-1,0,2
46,Un homme,77.0,-1,-1,2,1,2,-2,2
47,Une femme,33.0,2,1,1,-2,-1,2,2
48,Une femme,26.0,-1,1,1,1,0,1,1
49,Un homme,55.0,2,-1,-1,-1,-1,1,1
50,Un homme,35.0,-1,1,1,2,1,-1,-1
51,Un homme,37.0,0,1,2,2,0,2,2
52,Une femme,33.0,2,1,1,-1,-1,1,1
53,Une femme,75.0,1,1,1,0,0,0,1
54,Un homme,48.0,-1,-1,2,1,1,1,-1
55,Une femme,69.0,1,-1,1,1,-1,-2,1
56,Un homme,46.0,0,-1,1,-2,-1,1,1
57,Un homme,56.0,0,0,0,0,0,0,0
58,Un homme,47.0,1,1,2,0,0,1,-1
59,Une femme,70.0,-1,1,1,1,1,-1,1
